,Name,Label,Keypoints
183,Image_1618.jpg,sleeping,['NaN']
781,Image_7748.jpg,sleeping,['NaN']
483,Image_4717.jpg,sleeping,['NaN']
188,Image_1664.jpg,sleeping,['NaN']
126,Image_1120.jpg,sleeping,['NaN']
34,Image_330.jpg,sleeping,['NaN']
1111,Image_10904.jpg,sleeping,['NaN']
210,Image_1898.jpg,sleeping,['NaN']
835,Image_8264.jpg,sleeping,['NaN']
382,Image_3713.jpg,sleeping,['NaN']
603,Image_5994.jpg,sleeping,['NaN']
819,Image_8126.jpg,sleeping,['NaN']
155,Image_1398.jpg,sleeping,['NaN']
670,Image_6644.jpg,sleeping,['NaN']
176,Image_1562.jpg,sleeping,['NaN']
1195,Image_11841.jpg,sleeping,['NaN']
228,Image_2071.jpg,sleeping,['NaN']
1193,Image_11810.jpg,sleeping,['NaN']
556,Image_5453.jpg,sleeping,['NaN']
624,Image_6197.jpg,sleeping,['NaN']
889,Image_8717.jpg,sleeping,['NaN']
742,Image_7313.jpg,sleeping,['NaN']
691,Image_6813.jpg,sleeping,['NaN']
339,Image_3239.jpg,sleeping,['NaN']
493,Image_4851.jpg,sleeping,['NaN']
288,Image_2683.jpg,sleeping,['NaN']
821,Image_8136.jpg,sleeping,['NaN']
565,Image_5546.jpg,sleeping,['NaN']
36,Image_339.jpg,sleeping,['NaN']
453,Image_4414.jpg,sleeping,['NaN']
1008,Image_9904.jpg,sleeping,['NaN']
852,Image_8424.jpg,sleeping,['NaN']
105,Image_950.jpg,sleeping,['NaN']
917,Image_9084.jpg,sleeping,['NaN']
1233,Image_12228.jpg,sleeping,['NaN']
853,Image_8427.jpg,sleeping,['NaN']
1266,Image_12594.jpg,sleeping,['NaN']
334,Image_3163.jpg,sleeping,['NaN']
1242,Image_12313.jpg,sleeping,['NaN']
1011,Image_9947.jpg,sleeping,['NaN']
1026,Image_10104.jpg,sleeping,['NaN']
438,Image_4318.jpg,sleeping,['NaN']
906,Image_8954.jpg,sleeping,['NaN']
228,Image_2071.jpg,sleeping,['NaN']
868,Image_8584.jpg,sleeping,['NaN']
1163,Image_11477.jpg,sleeping,['NaN']
34,Image_330.jpg,sleeping,['NaN']
296,Image_2720.jpg,sleeping,['NaN']
488,Image_4813.jpg,sleeping,['NaN']
693,Image_6829.jpg,sleeping,['NaN']
1080,Image_10670.jpg,sleeping,['NaN']
571,Image_5592.jpg,sleeping,['NaN']
18,Image_179.jpg,sleeping,['NaN']
431,Image_4238.jpg,sleeping,['NaN']
626,Image_6204.jpg,sleeping,['NaN']
1015,Image_9974.jpg,sleeping,['NaN']
617,Image_6110.jpg,sleeping,['NaN']
160,Image_1461.jpg,sleeping,['NaN']
663,Image_6578.jpg,sleeping,['NaN']
813,Image_8036.jpg,sleeping,['NaN']
767,Image_7578.jpg,sleeping,['NaN']
913,Image_9032.jpg,sleeping,['NaN']
54,Image_503.jpg,sleeping,['NaN']
365,Image_3526.jpg,sleeping,['NaN']
142,Image_1258.jpg,sleeping,['NaN']
1010,Image_9939.jpg,sleeping,['NaN']
693,Image_6829.jpg,sleeping,['NaN']
2,Image_6.jpg,sleeping,"[     418.46      403.97     0.79962      416.34      317.69     0.90865      321.75      394.91     0.60157       460.2      211.47     0.23838      180.83      337.81     0.34994      664.18      164.66     0.41392      197.03      490.25     0.35296      794.54      277.78     0.10455      284.45      588.64
    0.039345      650.12      553.71     0.14986      288.05      561.04    0.080392      854.48      268.66     0.03558      651.39      391.23    0.032746      720.58      438.42    0.032935      710.39      470.12      0.0307      643.88      577.25    0.017722      645.53      579.96    0.018314]"
696,Image_6838.jpg,sleeping,['NaN']
1016,Image_9984.jpg,sleeping,['NaN']
187,Image_1658.jpg,sleeping,['NaN']
854,Image_8444.jpg,sleeping,['NaN']
717,Image_7089.jpg,sleeping,['NaN']
1003,Image_9865.jpg,sleeping,['NaN']
289,Image_2686.jpg,sleeping,['NaN']
358,Image_3392.jpg,sleeping,['NaN']
480,Image_4692.jpg,sleeping,['NaN']
483,Image_4717.jpg,sleeping,['NaN']
814,Image_8049.jpg,sleeping,['NaN']
826,Image_8196.jpg,sleeping,['NaN']
452,Image_4400.jpg,sleeping,['NaN']
529,Image_5213.jpg,sleeping,['NaN']
615,Image_6083.jpg,sleeping,['NaN']
94,Image_873.jpg,sleeping,['NaN']
386,Image_3762.jpg,sleeping,['NaN']
330,Image_3065.jpg,sleeping,['NaN']
683,Image_6754.jpg,sleeping,['NaN']
890,Image_8722.jpg,sleeping,['NaN']
71,Image_665.jpg,sleeping,['NaN']
276,Image_2601.jpg,sleeping,['NaN']
19,Image_182.jpg,sleeping,['NaN']
114,Image_1035.jpg,sleeping,['NaN']
939,Image_9334.jpg,sleeping,['NaN']
624,Image_6197.jpg,sleeping,['NaN']
225,Image_2050.jpg,sleeping,['NaN']
1164,Image_11486.jpg,sleeping,['NaN']
844,Image_8354.jpg,sleeping,['NaN']
112,Image_1002.jpg,sleeping,['NaN']
248,Image_2297.jpg,sleeping,['NaN']
897,Image_8807.jpg,sleeping,['NaN']
1072,Image_10625.jpg,sleeping,['NaN']
703,Image_6927.jpg,sleeping,['NaN']
1220,Image_12102.jpg,sleeping,['NaN']
750,Image_7374.jpg,sleeping,['NaN']
514,Image_5068.jpg,sleeping,['NaN']
681,Image_6736.jpg,sleeping,['NaN']
882,Image_8678.jpg,sleeping,['NaN']
407,Image_3945.jpg,sleeping,['NaN']
71,Image_665.jpg,sleeping,['NaN']
45,Image_410.jpg,sleeping,['NaN']
236,Image_2161.jpg,sleeping,['NaN']
357,Image_3390.jpg,sleeping,['NaN']
51,Image_483.jpg,sleeping,['NaN']
86,Image_771.jpg,sleeping,['NaN']
903,Image_8895.jpg,sleeping,['NaN']
730,Image_7217.jpg,sleeping,['NaN']
1038,Image_10244.jpg,sleeping,['NaN']
175,Image_1544.jpg,sleeping,['NaN']
1237,Image_12263.jpg,sleeping,['NaN']
986,Image_9655.jpg,sleeping,['NaN']
1108,Image_10884.jpg,sleeping,['NaN']
826,Image_8196.jpg,sleeping,['NaN']
1156,Image_11427.jpg,sleeping,['NaN']
7,Image_48.jpg,sleeping,"[     444.15      413.62     0.99571      473.16       388.4     0.89362      414.06      368.79       0.999      474.92      389.15     0.01417      318.95      327.76     0.87788      281.43       426.3      0.7378      351.92      413.14      0.7964      415.36      793.83     0.35205      481.08      762.51
     0.38204      450.29      890.81     0.22264      442.75      745.01     0.18235      36.843      517.42     0.20724      77.828      504.19     0.16869      131.41      711.48     0.16126      185.47      741.02     0.15014      189.65      863.15    0.016712      288.02      867.65    0.011947]"
388,Image_3770.jpg,sleeping,['NaN']
903,Image_8895.jpg,sleeping,['NaN']
712,Image_7052.jpg,sleeping,['NaN']
704,Image_6939.jpg,sleeping,['NaN']
366,Image_3529.jpg,sleeping,['NaN']
19,Image_182.jpg,sleeping,['NaN']
1000,Image_9826.jpg,sleeping,['NaN']
824,Image_8164.jpg,sleeping,['NaN']
1246,Image_12345.jpg,sleeping,['NaN']
1039,Image_10246.jpg,sleeping,['NaN']
430,Image_4237.jpg,sleeping,['NaN']
1013,Image_9965.jpg,sleeping,['NaN']
168,Image_1510.jpg,sleeping,['NaN']
868,Image_8584.jpg,sleeping,['NaN']
730,Image_7217.jpg,sleeping,['NaN']
407,Image_3945.jpg,sleeping,['NaN']
1177,Image_11625.jpg,sleeping,['NaN']
303,Image_2785.jpg,sleeping,['NaN']
978,Image_9613.jpg,sleeping,['NaN']
56,Image_521.jpg,sleeping,['NaN']
947,Image_9395.jpg,sleeping,['NaN']
284,Image_2658.jpg,sleeping,['NaN']
1265,Image_12577.jpg,sleeping,['NaN']
436,Image_4299.jpg,sleeping,['NaN']
149,Image_1336.jpg,sleeping,['NaN']
1045,Image_10354.jpg,sleeping,['NaN']
1233,Image_12228.jpg,sleeping,['NaN']
1004,Image_9868.jpg,sleeping,['NaN']
1038,Image_10244.jpg,sleeping,['NaN']
1161,Image_11454.jpg,sleeping,['NaN']
45,Image_410.jpg,sleeping,['NaN']
1118,Image_10944.jpg,sleeping,['NaN']
1003,Image_9865.jpg,sleeping,['NaN']
617,Image_6110.jpg,sleeping,['NaN']
603,Image_5994.jpg,sleeping,['NaN']
1153,Image_11404.jpg,sleeping,['NaN']
909,Image_8983.jpg,sleeping,['NaN']
630,Image_6224.jpg,sleeping,['NaN']
847,Image_8374.jpg,sleeping,['NaN']
407,Image_3945.jpg,sleeping,['NaN']
334,Image_3163.jpg,sleeping,['NaN']
399,Image_3825.jpg,sleeping,['NaN']
690,Image_6795.jpg,sleeping,['NaN']
677,Image_6696.jpg,sleeping,['NaN']
501,Image_4921.jpg,sleeping,['NaN']
1142,Image_11251.jpg,sleeping,['NaN']
1133,Image_11130.jpg,sleeping,['NaN']
463,Image_4533.jpg,sleeping,['NaN']
645,Image_6407.jpg,sleeping,['NaN']
814,Image_8049.jpg,sleeping,['NaN']
738,Image_7278.jpg,sleeping,['NaN']
1166,Image_11499.jpg,sleeping,['NaN']
573,Image_5627.jpg,sleeping,['NaN']
1226,Image_12175.jpg,sleeping,['NaN']
399,Image_3825.jpg,sleeping,['NaN']
414,Image_4021.jpg,sleeping,['NaN']
1237,Image_12263.jpg,sleeping,['NaN']
1195,Image_11841.jpg,sleeping,['NaN']
673,Image_6664.jpg,sleeping,['NaN']
1216,Image_12053.jpg,sleeping,['NaN']
1096,Image_10802.jpg,sleeping,['NaN']
844,Image_8354.jpg,sleeping,['NaN']
409,Image_3961.jpg,sleeping,['NaN']
1248,Image_12380.jpg,sleeping,['NaN']
198,Image_1786.jpg,sleeping,['NaN']
895,Image_8758.jpg,sleeping,['NaN']
336,Image_3187.jpg,sitting,['NaN']
1180,Image_11641.jpg,sitting,['NaN']
907,Image_8960.jpg,sitting,['NaN']
